,0
0,5.5904621481440128e-05
1,0.00022051397553042021
2,0.00049053189597125313
3,0.00086531194456349958
4,0.0013436565156381061
5,0.0019238670169226882
6,0.0026039081485471427
7,0.0033815855743799719
8,0.0042547094755170638
9,0.0052212206450932101
10,0.0062792614509355315
11,0.0074271820521747134
12,0.0086634814472998367
13,0.0099866917627680057
14,0.011395221393685765
15,0.012887177446768767
16,0.01446019024128666
17,0.016111262563135487
18,0.017836664153351625
19,0.019631887670855289
20,0.021491676249359364
21,0.023410125170781403
22,0.025380851845007848
23,0.027397220127500201
24,0.029452597821517459
25,0.031540620619915992
26,0.03365543237625343
27,0.035791871266373371
28,0.037945574913689044
29,0.040112985217189014
30,0.042291244815305225
31,0.044477990165167937
32,0.046671058698117787
33,0.04886813693976428
34,0.051066381168132863
35,0.053262041976405709
36,0.055450120493293474
37,0.057624079258070809
38,0.059775626451667438
39,0.06189458833718061
40,0.063968880170224382
41,0.065984579695093748
42,0.067926100513152343
43,0.069776457309107018
44,0.071517612750163703
45,0.073130895617729022
46,0.074597476803744719
47,0.075898878577321235
48,0.077017471183177325
49,0.077936886083196516
50,0.07864226254440615
51,0.079120261070797185
52,0.079358830146514805
53,0.079346789454581082
54,0.079073364942186669
55,0.078527850417758935
56,0.077699564708935132
57,0.076578231178716386
58,0.075154845204723389
59,0.073423025582935619
60,0.071380764323547952
61,0.069032388095647518
62,0.066390430553882523
63,0.063477023015988954
64,0.060324397444356949
65,0.056974207046088771
66,0.053475606311524898
67,0.049882331678005064
68,0.046249283561774664
69,0.042629237087553541
70,0.039070263350464138
71,0.035614251624916306
72,0.032296654330874933
73,0.029147307401189315
74,0.026191968573205601
75,0.023454099332353647
76,0.020956404248624272
77,0.018721728356978797
78,0.016773079661459238
79,0.01513275860112649
80,0.013820797057977023
81,0.012853085735173023
82,0.012239651932640721
83,0.011983511347449176
84,0.012080366774702677
85,0.012519213314329473
86,0.013283704530953285
87,0.014353995983843423
88,0.015708734981217855
89,0.017326894372541122
90,0.019189220154182295
91,0.021279146860571516
92,0.023583116384591915
93,0.026090315320131483
94,0.028791927007410751
95,0.031680071771008379
96,0.034746663641598979
97,0.037982421371081147
98,0.041376225458863068
99,0.04491492361418005
100,0.048583584578672317
101,0.052366115352020098
102,0.056246106116027761
103,0.060207749391632169
104,0.064236684300375824
105,0.068320633629659636
106,0.072449728611287803
107,0.076616457834021073
108,0.080815235448689571
109,0.08504165431271643
110,0.08929155590779185
111,0.093560089917354358
112,0.097840937489019522
113,0.10212583314438832
114,0.1064044551104695
115,0.11066468270856633
116,0.11489315868733346
117,0.11907605152515743
118,0.1231998880732646
119,0.12725231878653476
120,0.13122268659529171
121,0.13510229878613286
122,0.13888435012863087
123,0.14256350981431012
124,0.14613525172824751
125,0.149595060093212
126,0.152937666326834
127,0.15615646254600588
128,0.15924319723400798
129,0.1621880007255008
130,0.16497972575175993
131,0.16760653274780196
132,0.17005660897136451
133,0.1723188895040792
134,0.17438364899353254
135,0.17624285512113069
136,0.1778902151117624
137,0.17932089932940165
138,0.18053098319899419
139,0.18151670112147175
140,0.18227364396575588
141,0.18279604620077688
142,0.18307629426407168
143,0.18310474563211832
144,0.18286988804181237
145,0.18235880629296553
146,0.18155787566687043
147,0.18045357473528123
148,0.17903330473289575
149,0.17728610965764455
150,0.17520320379100129
151,0.17277823158395139
152,0.17000721568194185
153,0.16688819776443109
154,0.16342063868479265
155,0.15960470141738639
156,0.1554405714218689
157,0.15092796350644497
158,0.14606592895134918
159,0.14085302983236125
160,0.13528790423053008
161,0.12937020709081451
162,0.12310186527949771
163,0.11648852176348161
164,0.1095409692111028
165,0.10227631443761029
166,0.09471860687037513
167,0.086898728632138739
168,0.078853474892084816
169,0.070623917939221084
170,0.062253303119950018
171,0.053784832331942735
172,0.04525972954173163
173,0.036715945282457037
174,0.028187746655604751
175,0.019706270655361981
176,0.011300919594351814
177,0.0030012873129065722
178,-0.005160833598287542
179,-0.013149864719988108
180,-0.020925721064855719
181,-0.028444243199460269
182,-0.035658828518163516
183,-0.042523033483932063
184,-0.048993674439135208
185,-0.055033810499712427
186,-0.060614999241453513
187,-0.06571838046452104
188,-0.070334416209337752
189,-0.07446141083801637
190,-0.078103170286703355
191,-0.081266287817018251
192,-0.083957562608672473
193,-0.0861819923527712
194,-0.087941658643868617
195,-0.089235660197327663
196,-0.090061054349141439
197,-0.090414564347639434
