,0
0,-0.0057780790297577347
1,-0.01104673090388422
2,-0.015367437743778842
3,-0.018566683739635891
4,-0.020609164099150878
5,-0.021583748843336761
6,-0.021674204449924003
7,-0.021117478206871716
8,-0.020157447910458103
9,-0.019002527924515393
10,-0.017794350810378882
11,-0.01659229085130794
12,-0.015375420157053636
13,-0.014060256134791706
14,-0.012529988363118666
15,-0.010669200588465887
16,-0.0083976178497120139
17,-0.0056970515280773109
18,-0.002627240922354411
19,0.00067164999000713808
20,0.0039899003304956666
21,0.0070704405388641815
22,0.0096387828798604903
23,0.011436097094830188
24,0.012250615993247969
25,0.011943018135164298
26,0.010462476312064328
27,0.0078514843219148634
28,0.0042391503091428898
29,-0.00017584375324162005
30,-0.0051501387890960371
31,-0.01042504097729509
32,-0.015756379716161822
33,-0.020940890424620492
34,-0.025835560278697049
35,-0.030367295866012788
36,-0.034531626103743426
37,-0.038380791565453577
38,-0.042003247988203436
39,-0.045498027537744429
40,-0.048948276011493257
41,-0.052398435913763274
42,-0.055838941146980473
43,-0.059201045369154083
44,-0.062362747844585523
45,-0.06516498354994392
46,-0.067435585531872108
47,-0.069017255231891034
48,-0.06979509087160983
49,-0.069719254133606814
50,-0.068819125071305776
51,-0.067206689666333294
52,-0.065068666308715453
53,-0.062648655435118134
54,-0.06022204225732012
55,-0.058067255592018273
56,-0.056437215616205169
57,-0.055534478419704936
58,-0.055492882871180635
59,-0.056367604262003122
60,-0.058134539079293009
61,-0.060698936696605157
62,-0.063912174018495652
63,-0.067594576525151606
64,-0.071561321635125366
65,-0.075647872629396498
66,-0.079731249837298984
67,-0.083743863032610347
68,-0.087677612619827705
69,-0.091577404856331021
70,-0.095524908031001013
71,-0.099615037017888153
72,-0.10392901626863119
73,-0.10850868436254067
74,-0.11333677332042187
75,-0.11832712655512199
76,-0.12332725416642326
77,-0.1281334780481245
78,-0.13251657039288006
79,-0.13625371490269761
80,-0.13916128169800324
81,-0.14112262239014489
82,-0.14210594364680276
83,-0.14216913177378815
84,-0.14145079811693984
85,-0.14014930973852721
86,-0.13849367932433637
87,-0.13671152573088724
88,-0.1349996537309916
89,-0.13350210182245681
90,-0.13229892979941257
91,-0.13140689076508269
92,-0.13079088874520911
93,-0.13038321114975882
94,-0.13010630875092027
95,-0.12989457469146454
96,-0.12971114813136458
97,-0.12955705068681078
98,-0.12947163726986155
99,-0.12952503908700572
100,-0.12980465988662615
101,-0.13039862223545107
102,-0.1313792540093725
103,-0.13278930699295202
104,-0.13463277753139241
105,-0.13687118688851971
106,-0.13942521227154495
107,-0.14218082038476726
108,-0.14499863638663088
109,-0.14772517882949432
110,-0.15020472688763964
111,-0.15229084318720171
112,-0.15385683891083207
113,-0.15480465599394877
114,-0.15507172361814892
115,-0.15463534567005846
116,-0.15351415627958992
117,-0.1517662228476106
118,-0.14948354823945781
119,-0.14678305554515733
120,-0.14379460785325388
121,-0.14064715190048366
122,-0.13745457718583465
123,-0.1343032393082994
124,-0.1312432013896225
125,-0.12828501215446855
126,-0.12540321194929538
127,-0.12254675435681943
128,-0.11965526703129944
129,-0.11667877638258588
130,-0.11359748381402722
131,-0.11043769331909571
132,-0.10728023746287849
133,-0.10425875937939448
134,-0.10154684984829083
135,-0.099335055231255617
136,-0.097800833802791406
137,-0.097076278004355893
138,-0.097219468001920079
139,-0.098195355427748029
140,-0.099870909164703411
141,-0.10202694315583533
142,-0.10438595165817868
143,-0.10665202736282239
144,-0.10855626354987939
145,-0.10989956125058763
146,-0.11058481303407115
147,-0.11063201986371478
148,-0.11017274088171558
149,-0.10942391748137666
150,-0.10864497841111166
151,-0.10808557081547339
152,-0.10793358848254435
153,-0.1082737705114754
154,-0.10906566264327643
155,-0.11014626133622833
156,-0.11125782784922796
157,-0.11209621935593769
158,-0.11237080806728877
159,-0.11186458409930504
160,-0.11048282978062364
161,-0.10828076976936034
162,-0.10546440227592935
163,-0.1023636143181932
164,-0.099381854921858873
165,-0.096931193826724854
166,-0.095364651462541486
167,-0.09491852940122264
168,-0.095675749084525433
