,0
0,-0.005778786221390989
1,-0.011052054216372583
2,-0.015383645443087643
3,-0.018600507924518089
4,-0.020666170721179131
5,-0.02166734491099067
6,-0.021785605436553761
7,-0.021257052583859404
8,-0.020328140804075891
9,-0.019216499522701751
10,-0.018084428257797724
11,-0.017030141301718687
12,-0.016098279603071516
13,-0.015307359846376135
14,-0.014688367372154813
15,-0.014326196526620134
16,-0.014394504580109444
17,-0.015174974642323548
18,-0.017053968168154923
19,-0.020492868139069052
20,-0.025972645610170271
21,-0.033917716279728546
22,-0.044608251756662949
23,-0.058093018618130751
24,-0.07411594661508264
25,-0.092068761027896517
26,-0.11097949111275811
27,-0.1295434058871176
28,-0.14620016612899556
29,-0.15925955834549421
30,-0.16707734679111882
31,-0.16827900634013987
32,-0.16201635116449351
33,-0.14821599865674176
34,-0.12774508652461802
35,-0.10240136702080534
36,-0.074662543452589422
37,-0.047213794665150882
38,-0.022377329141144143
39,-0.0016272681187412929
40,0.01465553696703438
41,0.027131788442711892
42,0.0372038764738599
43,0.04658013522553945
44,0.056825636462264011
45,0.068995823627569702
46,0.08340893277369231
47,0.099573463580258953
48,0.1162560969793975
49,0.13165739146040878
50,0.14365707973657543
51,0.15009312251427423
52,0.14904253664516182
53,0.13907389372994783
54,0.11944239119064175
55,0.090202021007388181
56,0.052217919100456138
57,0.0070749749379596825
58,-0.043106271972787928
59,-0.095921366552540105
60,-0.1489653354337567
61,-0.20010579699571554
62,-0.24770420027897955
63,-0.2907512754025216
64,-0.32889747189630408
65,-0.36237866135987834
66,-0.39185753759822622
67,-0.41821697855923862
68,-0.44234908627768615
69,-0.46498106139550632
70,-0.4865677186749926
71,-0.5072636590893248
72,-0.52697005651667195
73,-0.54543553381911547
74,-0.56238056611152398
75,-0.57761194628560919
76,-0.59109847404612648
77,-0.60299011348239662
78,-0.61357779381429933
79,-0.62320602845386852
80,-0.63216165721001272
81,-0.64056647725348981
82,-0.64829863023549406
83,-0.6549588597631637
84,-0.6598860513977598
85,-0.66221493762766137
86,-0.66095982394707753
87,-0.65510274701642779
88,-0.6436626363458634
89,-0.62572359143547251
90,-0.60040586211500657
91,-0.56677428167284372
92,-0.52369760238859053
93,-0.46969790087915997
94,-0.40285685468881838
95,-0.32086542486517305
96,-0.22130263187162685
97,-0.10219433001045186
98,0.037177058746577063
99,0.19536696560676722
100,0.36806720982372709
101,0.54799753263786222
102,0.72570301562400852
103,0.89126438248154893
104,1.0364815224918806
105,1.1567605354483785
106,1.2519745136089477
107,1.3259942502992976
108,1.3851386232471044
109,1.4361589360890514
110,1.4844096873110104
111,1.5326503452532669
112,1.5806376963575692
113,1.625434701859173
114,1.662227635864872
115,1.6854005946352277
116,1.6896359645387147
117,1.6708610556073644
118,1.6269220351707157
119,1.5579232394696108
120,1.4662182927140737
121,1.3560799441028559
122,1.2331099990381977
123,1.1034793368365756
124,0.9731086741389724
125,0.84691003090668127
126,0.72820339720057869
127,0.61840077764330037
128,0.51701093500470474
