,0
0,0.38389113266356356
1,0.73231110142471112
2,1.0149645064821611
3,1.2281027545338736
4,1.3765361612891029
5,1.4716414833964866
6,1.5296475344001168
7,1.5696188005422897
8,1.6112674507443561
9,1.6727489069494192
10,1.7686076959639032
11,1.9080641654023494
12,2.0938520675869299
13,2.3218090797573492
14,2.5813682345437647
15,2.8569914046103615
16,3.1304367155990267
17,3.3835868185131068
18,3.6014219239823486
19,3.7746392788549037
20,3.9014287751286369
21,3.9880236085343626
22,4.0478432873869332
23,4.0992997949650816
24,4.1625968759102818
25,4.2560628983107049
26,4.3926724133254789
27,4.5774015215087038
28,4.8059242320380609
29,5.0649154298704113
30,5.3339281083417811
31,5.5885183345546334
32,5.804060578909465
33,5.9595741387055563
34,6.040890108953417
35,6.0426217250655876
36,5.9686282654770881
37,5.8309370329124457
38,5.6473566550834358
39,5.4382303274957868
40,5.222904813001807
41,5.0165130175815547
42,4.8275874488387229
43,4.6568596636119732
44,4.4973909127478144
45,4.3359608341780289
46,4.1554499015687254
47,3.9378127242397625
48,3.6671658497375241
49,3.3325078173246641
50,2.9296477892070696
51,2.4620370085324064
52,1.9403663281626724
53,1.3809966610125868
54,0.80349792742921544
55,0.22774437119940705
56,-0.32889393566367703
57,-0.85374265676873673
58,-1.3400105984261212
59,-1.7868050832382485
60,-2.1980592993750081
61,-2.5806780434463428
62,-2.9423483629564724
63,-3.289489795873608
64,-3.6257361034408291
65,-3.9511768811097743
66,-4.2623931905138557
67,-4.5531500060824373
68,-4.8155001967193618
69,-5.0410260901082671
70,-5.2219860379862384
71,-5.3522175861901209
72,-5.4277426061596987
73,-5.4470947907993734
74,-5.4114298442384854
75,-5.324480947369814
76,-5.192395986035943
77,-5.0234553680125282
78,-4.8276387775076035
79,-4.6160011856284422
80,-4.3998402110674242
81,-4.1896855958927226
82,-3.9942044359976028
83,-3.8191738600649163
84,-3.6667062413026823
85,-3.534906013286117
86,-3.418086628475185
87,-3.3075874651349779
88,-3.1931200283652297
89,-3.0644633869048206
90,-2.9132442998119097
91,-2.7344975826587943
92,-2.5277182277608765
93,-2.2971891169774312
94,-2.0514861741533523
95,-1.8022063435844642
96,-1.5621067477980037
97,-1.3429585944190341
98,-1.1534839663305376
99,-0.99774360567792109
100,-0.87427715023671637
101,-0.77617434848796674
102,-0.69209732784041578
103,-0.6081073241224052
104,-0.51000341621556
105,-0.38578160990466837
106,-0.22778859923626463
107,-0.034183802508790016
108,0.19056817726409098
109,0.43629080411819859
110,0.68870217710861448
111,0.93177981194888237
112,1.1504850285622341
113,1.3333718233132752
114,1.4746120869828632
115,1.5750610209952094
116,1.6421493587458491
117,1.6885948467316974
118,1.7301381408859466
119,1.78268934295461
120,1.8593868266308742
121,1.9680964159432053
122,2.1098084612033174
123,2.2782329749559258
124,2.460676136824528
125,2.6400455107589047
126,2.7976218390073369
127,2.9160935330902649
128,2.982303797145923
129,2.9892180501913206
130,2.9367685421513774
