,0
0,-0.0057783147449845338
1,-0.011048504933040828
2,-0.01537283806059851
3,-0.018577952996650091
4,-0.020628157754443176
5,-0.021611582832610172
6,-0.021711123597705207
7,-0.021162911516089428
8,-0.020210171760544765
9,-0.019060836303784946
10,-0.01785613361575317
11,-0.016654947778137714
12,-0.015435587679576219
13,-0.014113391479631386
14,-0.012569922344526431
15,-0.010687820995763792
16,-0.0083848587877915787
17,-0.0056413321516073705
18,-0.0025164216691426649
19,0.00084883087389884626
20,0.0042420616473709078
21,0.0074017160342970435
22,0.010047217278689563
23,0.011912605946566962
24,0.012778785999862615
25,0.012499921951569022
26,0.011020537845767828
27,0.0083812839798725197
28,0.0047129317436621397
29,0.00021970719103855927
30,-0.0048455996747370665
31,-0.010211331401901065
32,-0.015617481527325641
33,-0.020842944190737026
34,-0.025725782933411774
35,-0.030173677634613129
36,-0.034163031451582108
37,-0.037726874838411938
38,-0.040933475343514408
39,-0.043859158231363472
40,-0.046559959323870546
41,-0.049047134531299642
42,-0.051271144004859465
43,-0.053117564080944986
44,-0.054416609954656803
45,-0.054965767020648877
46,-0.054562638477536028
47,-0.053042810748243248
48,-0.050315788545432207
49,-0.046391520765619608
50,-0.041391344258183284
51,-0.035540423653006956
52,-0.029143185081776147
53,-0.022547308340395342
54,-0.016104039007925033
55,-0.010132264804252632
56,-0.0048915029413655496
57,-0.00056592099076373606
58,0.0027410475259913949
59,0.0050034224661798599
60,0.0062630894009321498
61,0.0066159901794956202
62,0.0061956428845088146
63,0.0051551132072554578
64,0.0036484635419758884
65,0.0018129903078024077
66,-0.0002459403400285453
67,-0.0024652658152586634
68,-0.0048277084272701316
69,-0.0073570274773367981
70,-0.010105071442836762
71,-0.013132319788793855
72,-0.016485136301111373
73,-0.020173967147139153
74,-0.024156936114683399
75,-0.028332610059647507
76,-0.032544201046059984
77,-0.036595385038273698
78,-0.040275643858267984
79,-0.043391047460418927
80,-0.045795126987735559
81,-0.047414241280895483
82,-0.048262683906665674
83,-0.048444550512618069
84,-0.048141735355231627
85,-0.047589899182134979
86,-0.047046390921087783
87,-0.046755528066985706
88,-0.046917088401443298
89,-0.047663247539392786
90,-0.049047610408289963
91,-0.051047717251785238
92,-0.053579895716647022
93,-0.056523088918795449
94,-0.059746775889711196
95,-0.063137610882769618
96,-0.066619996643166077
97,-0.07016728377954369
98,-0.073802283286480669
99,-0.077587847203237123
100,-0.081610003102073198
101,-0.085957227453766466
102,-0.090699774629285135
103,-0.095872568388533391
104,-0.10146417537791927
105,-0.10741307288440763
106,-0.1136110875785299
107,-0.11991277987659993
108,-0.12614885538760809
109,-0.13214145732125757
110,-0.13771937021584998
111,-0.14273159992510293
112,-0.14705831153046445
113,-0.15061855631891974
114,-0.15337451905016639
115,-0.15533216671154551
116,-0.15653824682513112
117,-0.15707366724847302
118,-0.15704348006022945
119,-0.15656403030704058
120,-0.15574828625986309
121,-0.15469084384643927
122,-0.15345445628106108
123,-0.1520600456415423
124,-0.15048191776239722
125,-0.14864931222761468
126,-0.14645454398044633
127,-0.14376696800551653
128,-0.14045100027487026
129,-0.13638564153947547
130,-0.13148253270276711
131,-0.12569961404863472
132,-0.11904796621417581
133,-0.11159028590212718
134,-0.10343054478266153
135,-0.094695556774133743
136,-0.085510367228919276
137,-0.075970575457611073
138,-0.066115881909083907
139,-0.055910116986298067
140,-0.04523332340154327
141,-0.03389057275385271
142,-0.021639735213066759
143,-0.0082365351281768386
144,0.0065093284454232677
145,0.022677274626189469
146,0.040190780560163182
147,0.058796523446603334
148,0.078076688766768113
149,0.097497013739948235
150,0.11648464054231975
151,0.13452114689044803
152,0.15122989937514014
153,0.16643580875853695
154,0.18018098103379718
155,0.1926906077742257
156,0.20429643076677115
157,0.21533608873198468
158,0.22605238300375707
159,0.23651582087927833
160,0.24658758453684662
161,0.2559304350076802
162,0.26406443598533358
163,0.27045499858191147
164,0.27461439155115808
165,0.27619572101026546
166,0.27506081254269971
167,0.27130972807033787
168,0.26526813556474493
169,0.25743723869067769
170,0.24841752253218702
171,0.23882107836386937
172,0.2291876364858057
173,0.21991729153906953
174,0.21122915006294646
175,0.20315057931190278
176,0.19553699308140321
177,0.18811763421681102
178,0.1805590443045228
179,0.17253532593512749
180,0.16379335420040761
181,0.15420205794571232
182,0.14377771629873315
183,0.13268146319575549
184,0.12119010792572703
185,0.10964606696505053
186,0.098395821841754244
187,0.087728242010960605
188,0.077824013268216072
189,0.068725296137241154
190,0.060330943090001685
191,0.052417773957003588
192,0.044683429409740343
193,0.036802180029218493
194,0.028482651479499153
195,0.01951629620711539
196,0.0098076555255939019
197,-0.00061848640031644689
198,-0.011632996432580927
199,-0.023036555016594556
200,-0.034603870215236199
201,-0.046128257803095193
202,-0.057457600052097935
203,-0.06851525658346222
204,-0.079303226042303776
205,-0.089888835488581675
206,-0.10037955424906443
207,-0.11089248833045655
208,-0.12152537622297276
209,-0.13233458150334679
210,-0.14332316203640522
211,-0.15443933378960306
212,-0.16558330881198219
213,-0.17661914702740167
214,-0.18738814758163264
215,-0.19772125440196242
216,-0.2074494845570278
217,-0.21641288076607246
218,-0.22446937004858819
219,-0.23150484338167895
220,-0.2374447612247072
221,-0.24226598420651452
222,-0.24600591674379399
223,-0.24876509222380025
224,-0.25069954821460899
225,-0.25200095690370367
226,-0.25286529106953759
227,-0.25345420057110063
228,-0.25385632932250013
229,-0.25405753268463294
230,-0.25392860581990589
231,-0.25323644729100603
232,-0.25167993073764788
233,-0.24894608379875383
234,-0.24477676741498999
235,-0.23903224555659433
236,-0.23173693208422014
237,-0.22309483167379915
238,-0.21346774624326625
239,-0.20331739642408361
240,-0.19312156561099916
241,-0.18328192043846803
242,-0.17404492016957862
243,-0.16545558452352241
244,-0.15735676253053416
245,-0.14943562165838087
246,-0.14130731255819071
247,-0.13261637109383828
248,-0.12313184334446582
249,-0.11281343989073696
250,-0.10183285185549765
251,-0.090545064255131119
252,-0.079416586935622951
253,-0.068928082807659011
254,-0.059475185199533369
255,-0.051291559817943137
256,-0.044412273165134429
257,-0.038684908849111285
258,-0.033823660177110665
259,-0.029491239966623145
260,-0.025387542831746449
261,-0.021323712774025897
262,-0.017265127127062033
263,-0.013335119740202721
264,-0.0097807797982426593
265,-0.0069106519271166737
266,-0.0050198577540929773
267,-0.0043200196347624644
268,-0.0048892373693674562
269,-0.0066519869428291476
270,-0.0093916345326222703
271,-0.012791089880390438
272,-0.016491609934959229
273,-0.020156963004782216
274,-0.023530319644767213
275,-0.02647385041947924
276,-0.028985130527845369
277,-0.031189028124707665
278,-0.033307919103250747
279,-0.035616267217068141
280,-0.038387575102654552
281,-0.041842403778930781
282,-0.046105653682083247
283,-0.051179746313644602
284,-0.056937945770993911
285,-0.063139082139558211
286,-0.069461719663151816
287,-0.075552740147564176
288,-0.081082799426505703
289,-0.085799566038459896
290,-0.08956941800461346
291,-0.092399589893087303
292,-0.09443565538002377
293,-0.095933426652097323
294,-0.097209225130952717
295,-0.098577093614001035
296,-0.10028480482147512
297,-0.10246153794446529
298,-0.10508834168687314
299,-0.10799813045249114
300,-0.11090581080764389
301,-0.11346256717076202
302,-0.11532289144008452
303,-0.11620995330735655
304,-0.11596515743290539
305,-0.11457124605701861
306,-0.11214432480857253
307,-0.10889733299824331
308,-0.10508404867666932
309,-0.10093710369828576
310,-0.09661457726169019
311,-0.092167243068400143
312,-0.087533095919872253
313,-0.08255879815247967
314,-0.077041010804234172
315,-0.070775982465529616
316,-0.063604464718137813
317,-0.055441289733569467
318,-0.046284046739798398
319,-0.036201673855050027
320,-0.025309516018683368
321,-0.013740770461396606
322,-0.0016242602309163199
323,0.010924804146107123
324,0.023799900007203712
325,0.036888790512533597
326,0.050058539323994344
327,0.063149798596955561
328,0.075987340209094714
329,0.08840775783400677
330,0.10029796375781258
331,0.11163209233854579
332,0.12249205920901708
333,0.1330596092393336
334,0.14357492617752293
335,0.15426691273471888
336,0.16527019121066794
337,0.17655063953332484
338,0.18786246216030494
339,0.19875437414746053
340,0.20863120846754454
341,0.2168626926723409
342,0.22291713553665604
343,0.2264884765673004
344,0.22758374854254537
345,0.22654551657943792
346,0.22399869566886113
347,0.2207295313880612
348,0.21752165935799031
349,0.21498563638852153
350,0.21342127862382768
351,0.21274576406438836
352,0.21250611921146562
353,0.2119755854358121
354,0.2103138137666391
