,0
0,-0.0057785035750408916
1,-0.011048927748681847
2,-0.0153736067442608
3,-0.018579343874191512
4,-0.020630981623689947
5,-0.021618329233166242
6,-0.021728733388753488
7,-0.021208275148259834
8,-0.020319358981571549
9,-0.019302456914477302
10,-0.018348063218771912
11,-0.017582078498227276
12,-0.017064635306555768
13,-0.016799603974165106
14,-0.016750314055067588
15,-0.016856708241630578
16,-0.017050143400010816
17,-0.017263958839597686
18,-0.017440119879851029
19,-0.017534041422559068
20,-0.017520550655336788
21,-0.017403572346530075
22,-0.017230570256820222
23,-0.017110453421922103
24,-0.017231210086787234
25,-0.017871707170341745
26,-0.019401519362588184
27,-0.022263671115180864
28,-0.026937745322540462
29,-0.033884520578736893
30,-0.043477459090829514
31,-0.055930166977431577
32,-0.07123159008256065
33,-0.089101526861822225
34,-0.10897760316571536
35,-0.13004105866316115
36,-0.15128285983380141
37,-0.17160457801028989
38,-0.18994139670492602
39,-0.20538905162343346
40,-0.21731390562401781
41,-0.22542668314633607
42,-0.22980575778785109
43,-0.23086445049376345
44,-0.22926689557295427
45,-0.22580661520564022
46,-0.22126904970814934
47,-0.21630244393877365
48,-0.21131993747541428
49,-0.20644955329566578
50,-0.20153906901747889
51,-0.19621144489876305
52,-0.18995619122321675
53,-0.18223545724932247
54,-0.17258257240472405
55,-0.16067550277290896
56,-0.14637651972967758
57,-0.12973922332963286
58,-0.11099161299899514
59,-0.09050694851386841
60,-0.068772403052749037
61,-0.046360543951348546
62,-0.023903110655045468
63,-0.0020629406281843818
64,0.018500317796737376
65,0.03717201533575866
66,0.053428404163521258
67,0.066879000951269058
68,0.077295993427231216
69,0.084622696605391942
70,0.088957231560134881
71,0.090513144011251503
72,0.089563941421110668
73,0.086382104889161787
74,0.08118421771048101
75,0.074092325200178055
76,0.065117990037964688
77,0.054170659585245737
78,0.041087049119755518
79,0.02567435234639974
80,0.0077580112951602812
81,-0.012775160671260635
82,-0.035945700480871971
83,-0.06166594003543812
84,-0.089740315229060799
85,-0.11987844108066473
86,-0.1517158299608164
87,-0.18483668021716801
88,-0.21879422697658549
89,-0.25312628177863
90,-0.28736609710992245
91,-0.32105081823381038
92,-0.35373091014854119
93,-0.38498375393367373
94,-0.41443315204497672
95,-0.44177417598182539
96,-0.46680028068054902
97,-0.48942761722170969
98,-0.50971060826549086
99,-0.52784345471640337
100,-0.54414430417605897
101,-0.55902194431593644
102,-0.57292840100530062
103,-0.58630389521415105
104,-0.59952248853674717
105,-0.61284694780763493
106,-0.62639982566580366
107,-0.64015486194863114
108,-0.65394925524573611
109,-0.66751393908335444
110,-0.68051640978656835
111,-0.69260929518462477
112,-0.70347778174259412
113,-0.71287999175085381
114,-0.72067600722903247
115,-0.72684303473563827
116,-0.73147586218104843
117,-0.73477311860177874
118,-0.73701092650141253
119,-0.73850644994520631
120,-0.73957470340103115
121,-0.74048282202819105
122,-0.74140671132807923
123,-0.74239540785947122
124,-0.74334837016183486
125,-0.74401007364722838
126,-0.74398456134488877
127,-0.74276997430514335
128,-0.73980970536545665
129,-0.7345531069687472
130,-0.72651537217389428
131,-0.71532429573888401
132,-0.70074214848056715
133,-0.68265454978823459
134,-0.66102489247410645
135,-0.63582140437941848
136,-0.60693226664366984
137,-0.57408997233239467
138,-0.53682737272763625
139,-0.49448374601790013
140,-0.44627011317287968
141,-0.3913903857986285
142,-0.32920101409608682
143,-0.25937941572830164
144,-0.18206377498439391
145,-0.097926901724219487
146,-0.0081567989316824081
147,0.085663923510311879
148,0.18176240895782383
149,0.27842224169472912
150,0.37421609981119619
151,0.46816806909219805
152,0.55980538825019421
153,0.64908714459813432
154,0.73622880738212271
155,0.82146763712869286
156,0.90482809332059622
157,0.98594519193689423
158,1.0639882403289842
159,1.137701943617168
160,1.2055532901149788
161,1.2659482269357245
162,1.3174679242618272
163,1.3590733967901603
164,1.3902386463174978
165,1.4109922333884182
166,1.4218693358636594
167,1.4237949879684517
168,1.4179300715459964
169,1.4055131435959276
170,1.3877244650742699
171,1.3655868825275452
172,1.3399057167863004
173,1.3112404240180726
174,1.2798969725699596
175,1.2459319948637841
176,1.2091660901584116
177,1.1692109533983086
178,1.1255196951251489
